	SBP_Male	GDP	TC_Male	Country	Year	TC_Male_mg/dL
0	132.927	1060.68460246	5.006371	Albania	1980	193.296177606
1	133.0296	1099.51270187	5.001727	Albania	1981	193.116872587
2	133.1459	1110.51226134	4.995893	Albania	1982	192.891621622
3	133.1868	1101.3356538	4.988104	Albania	1983	192.590888031
4	133.2048	1065.2353469	4.98158	Albania	1984	192.338996139
5	133.2577	1059.86574439	4.977619	Albania	1985	192.186061776
6	133.2506	1091.56055727	4.971681	Albania	1986	191.956795367
7	133.2931	1054.24780308	4.968798	Albania	1987	191.845482625
8	133.2701	1013.62900811	4.964878	Albania	1988	191.694131274
9	133.2469	1092.47457221	4.961949	Albania	1989	191.581042471
10	133.1286	977.765529827	4.957453	Albania	1990	191.407451737
11	132.8971	687.991872507	4.939636	Albania	1991	190.71953668
12	132.5104	643.285847978	4.916519	Albania	1992	189.826988417
13	132.1749	714.241431509	4.900353	Albania	1993	189.202818533
14	131.9315	784.583147914	4.894474	Albania	1994	188.975830116
15	131.8613	899.782936847	4.900793	Albania	1995	189.21980695
16	131.7794	990.65320403	4.905012	Albania	1996	189.382702703
17	131.718	895.560972965	4.901205	Albania	1997	189.235714286
18	131.7238	1013.5143171	4.897117	Albania	1998	189.077876448
19	131.8057	1118.17150533	4.895632	Albania	1999	189.020540541
20	131.9823	1200.13743712	4.89892	Albania	2000	189.147490347
21	132.2176	1281.84280388	4.903275	Albania	2001	189.315637066
22	132.4619	1313.72272526	4.905689	Albania	2002	189.408841699
23	132.7057	1381.04083217	4.906776	Albania	2003	189.450810811
24	132.9587	1454.02285397	4.90487	Albania	2004	189.377220077
25	133.1678	1525.72358887	4.900919	Albania	2005	189.224671815
26	133.3954	1594.49506704	4.897351	Albania	2006	189.086911197
27	133.622	1681.61390973	4.894249	Albania	2007	188.967142857
28	133.8207	1804.41941549	4.890784	Albania	2008	188.833359073
29	132.4093	1876.07563869	4.925933	Algeria	1980	190.19046332
30	132.171	1869.621279	4.919521	Algeria	1981	189.942895753
31	131.9649	1924.61408566	4.914258	Algeria	1982	189.73969112
32	131.7835	1963.36510433	4.913837	Algeria	1983	189.723436293
33	131.6161	2008.4721758	4.911134	Algeria	1984	189.619073359
34	131.4345	2020.0872202	4.907856	Algeria	1985	189.492509653
35	131.2326	1969.7642169	4.901825	Algeria	1986	189.25965251
36	131.0388	1902.06109765	4.895566	Algeria	1987	189.017992278
37	130.8046	1833.15287805	4.884584	Algeria	1988	188.593976834
38	130.5779	1864.71258206	4.872994	Algeria	1989	188.146486486
39	130.3509	1832.7433694	4.864034	Algeria	1990	187.800540541
40	130.1156	1766.6608388	4.851894	Algeria	1991	187.331814672
41	129.8692	1755.9736977	4.836873	Algeria	1992	186.751853282
42	129.6309	1680.37985563	4.823294	Algeria	1993	186.227567568
43	129.4411	1630.38150762	4.80947	Algeria	1994	185.693822394
44	129.2861	1660.00419222	4.795215	Algeria	1995	185.143436293
45	129.1701	1698.3338227	4.780089	Algeria	1996	184.559420849
46	129.1221	1690.23753836	4.76792	Algeria	1997	184.08957529
47	129.0953	1750.65089993	4.756511	Algeria	1998	183.649073359
48	129.1106	1781.14246395	4.743488	Algeria	1999	183.146254826
49	129.2023	1794.40523317	4.734174	Algeria	2000	182.786640927
50	129.2934	1814.41513001	4.722526	Algeria	2001	182.336911197
51	129.4057	1871.92198616	4.711596	Algeria	2002	181.914903475
52	129.5286	1971.51280258	4.701297	Algeria	2003	181.517258687
53	129.6348	2043.13571301	4.694086	Algeria	2004	181.238841699
54	129.7574	2115.1860281	4.686355	Algeria	2005	180.94034749
55	129.8688	2124.9577538	4.678111	Algeria	2006	180.622046332
56	129.9521	2155.48523109	4.671032	Algeria	2007	180.348725869
57	130.0443	2173.78790285	4.663696	Algeria	2008	180.065482625
58	140.8585	17013.6984882	6.178972	Andorra	1980	238.57034749
59	140.1076	16169.0216999	6.14385	Andorra	1981	237.214285714
60	139.3727	15514.6576335	6.108996	Andorra	1982	235.868571429
61	138.6457	14976.5906094	6.077504	Andorra	1983	234.652664093
62	137.9525	14554.762842	6.047321	Andorra	1984	233.487297297
63	137.3192	14354.9065579	6.018569	Andorra	1985	232.377181467
64	136.7997	14444.4620623	5.991545	Andorra	1986	231.333783784
65	136.3876	14983.6321747	5.964697	Andorra	1987	230.297181467
66	136.0668	15517.4946903	5.941315	Andorra	1988	229.394401544
67	135.7991	15947.4901676	5.921647	Andorra	1989	228.635019305
68	135.5394	16070.0657664	5.898942	Andorra	1990	227.758378378
69	135.2648	15813.1016039	5.875875	Andorra	1991	226.867760618
70	134.9872	15194.4592163	5.852308	Andorra	1992	225.957837838
71	134.6827	14318.1890135	5.826815	Andorra	1993	224.973552124
72	134.3801	14092.4240796	5.80229	Andorra	1994	224.026640927
73	134.094	14125.5934155	5.778216	Andorra	1995	223.097142857
74	133.8172	14662.7364028	5.753525	Andorra	1996	222.143822394
75	133.5845	16071.6449129	5.732058	Andorra	1997	221.314980695
76	133.3496	16755.2206889	5.711629	Andorra	1998	220.526216216
77	133.122	17513.1782384	5.691342	Andorra	1999	219.742934363
78	132.9088	17539.4420049	5.671508	Andorra	2000	218.977142857
79	132.7174	19085.3640605	5.653838	Andorra	2001	218.294903475
80	132.5272	19430.0547808	5.636606	Andorra	2002	217.62957529
81	132.3629	19834.6326237	5.623507	Andorra	2003	217.123822394
82	132.1891	20254.3462868	5.609258	Andorra	2004	216.573667954
83	132.0176	20737.9451168	5.594193	Andorra	2005	215.992007722
84	131.8713	21595.3954821	5.582063	Andorra	2006	215.523667954
85	131.7202	21495.8050827	5.570358	Andorra	2007	215.071737452
86	131.5517	21943.3398976	5.557206	Andorra	2008	214.563938224
87	133.9246	362.476701449	4.469586	Angola	1985	172.570888031
88	133.7804	362.354136035	4.461452	Angola	1986	172.256833977
89	133.6974	381.157524473	4.457127	Angola	1987	172.08984556
