SBP_Male	GDP	TC_Male	Country	Year	Year_base1978
132.927	1060.68460246	5.006371	Albania	1980	1.41421356237
122.6822	244.557977761	4.389185	Bhutan	1980	1.41421356237
138.0721	6511.36704763	5.471373	Portugal	1980	1.41421356237
130.244	1071.00132381	4.844832	Bolivia	1980	1.41421356237
126.6025	1098.39829743	4.773631	Philippines	1980	1.41421356237
129.6581	2261.396653	4.914022	Peru	1980	1.41421356237
132.8326	1411.48671697	4.747233	Paraguay	1980	1.41421356237
131.8298	1153.96808297	4.535484	Botswana	1980	1.41421356237
118.6532	646.776293684	4.733245	Papua New Guinea	1980	1.41421356237
131.8722	3170.32151205	4.862924	Panama	1980	1.41421356237
136.4754	5841.28063984	5.066677	Venezuela	1980	1.41421356237
136.6203	3536.0458703	4.858314	Brazil	1980	1.41421356237
125.0727	339.42588195	4.685099	Pakistan	1980	1.41421356237
137.7054	30504.4615835	5.510794	Brunei	1980	1.41421356237
131.6683	4535.62801115	4.961592	Oman	1980	1.41421356237
142.1456	22330.1375743	5.97409	Norway	1980	1.41421356237
134.9506	1294.03234531	5.264144	Bulgaria	1980	1.41421356237
134.4935	416.340061003	4.18612	Nigeria	1980	1.41421356237
131.1054	152.610166687	4.107502	Burkina Faso	1980	1.41421356237
140.9045	259.485145389	4.195324	Niger	1980	1.41421356237
131.6126	1293.98904883	4.825706	Nicaragua	1980	1.41421356237
130.8484	501.255597666	4.464896	Zimbabwe	1980	1.41421356237
129.6529	159.563202559	4.021657	Burundi	1980	1.41421356237
134.1954	10426.7303445	6.134231	New Zealand	1980	1.41421356237
138.6991	15984.1463737	5.912645	Netherlands	1980	1.41421356237
123.8241	141.319736219	4.474001	Nepal	1980	1.41421356237
132.8411	641.431834128	4.197154	Cameroon	1980	1.41421356237
137.2583	2263.39621888	4.723027	Namibia	1980	1.41421356237
132.0512	9022.36902911	5.026441	Puerto Rico	1980	1.41421356237
131.0402	16751.3387776	5.640598	Canada	1980	1.41421356237
134.7686	1840.84260362	5.261573	Romania	1980	1.41421356237
131.8463	263.697432503	4.093782	Rwanda	1980	1.41421356237
131.5946	6947.65571754	4.887517	Trinidad and Tobago	1980	1.41421356237
134.3251	352.041066993	4.22122	Togo	1980	1.41421356237
122.7923	785.023422422	4.660105	Thailand	1980	1.41421356237
134.2601	14555.9477005	5.763054	Australia	1980	1.41421356237
129.6465	1064.55367988	4.837756	Syria	1980	1.41421356237
138.3773	15628.1185251	5.856654	Austria	1980	1.41421356237
138.3033	29182.9321764	5.952783	Switzerland	1980	1.41421356237
131.9361	1071.43019197	4.824006	Vanuatu	1980	1.41421356237
138.8169	19470.0551087	6.031905	Sweden	1980	1.41421356237
133.6435	779.252442154	4.60644	Swaziland	1980	1.41421356237
136.5903	17954.4174413	5.308181	Bahamas	1980	1.41421356237
131.1013	2536.23369849	4.856658	Suriname	1980	1.41421356237
129.7485	272.85400864	4.496607	Sudan	1980	1.41421356237
135.3229	11127.8697589	5.256129	Bahrain	1980	1.41421356237
126.4659	441.787795391	4.51004	Sri Lanka	1980	1.41421356237
123.9319	253.782281488	4.487097	Bangladesh	1980	1.41421356237
136.5565	8808.82438159	5.620108	Spain	1980	1.41421356237
135.4393	3463.24711329	4.925735	South Africa	1980	1.41421356237
134.1387	7861.83475131	5.133276	Barbados	1980	1.41421356237
131.6479	9457.47094934	5.839835	Singapore	1980	1.41421356237
134.4863	293.742846923	4.202369	Sierra Leone	1980	1.41421356237
136.5173	15524.9596438	6.081827	Belgium	1980	1.41421356237
135.9212	4531.96484834	4.990515	Seychelles	1980	1.41421356237
133.2086	494.206157417	4.351519	Senegal	1980	1.41421356237
127.8844	1979.79967602	4.87739	Belize	1980	1.41421356237
136.7878	15683.721139	5.299212	Saudi Arabia	1980	1.41421356237
133.6482	300.299898695	4.190543	Benin	1980	1.41421356237
139.8906	43514.9407232	5.661	Bermuda	1980	1.41421356237
133.3791	202.721355552	4.337565	Mozambique	1980	1.41421356237
127.8159	1018.7166013	4.72144	Morocco	1980	1.41421356237
136.7565	559.920664199	4.230469	Cape Verde	1980	1.41421356237
139.4481	10153.2535059	5.951304	Ireland	1980	1.41421356237
134.1293	2236.36765709	4.744724	Dominica	1980	1.41421356237
131.5795	1485.01406891	5.002445	Iran	1980	1.41421356237
127.1698	390.009651893	4.590782	Indonesia	1980	1.41421356237
131.8774	1367.51729476	4.888779	Ecuador	1980	1.41421356237
122.0713	230.008535501	4.574924	India	1980	1.41421356237
125.7052	856.600789535	4.686567	Egypt	1980	1.41421356237
137.7335	22622.9028035	6.123205	Iceland	1980	1.41421356237
138.1667	3769.61801051	5.283915	Hungary	1980	1.41421356237
127.8098	1869.27771899	4.740197	El Salvador	1980	1.41421356237
134.4465	12004.7025175	5.066662	Hong Kong, China	1980	1.41421356237
128.4525	1115.74205797	4.592224	Honduras	1980	1.41421356237
127.0717	802.916382534	4.519283	Guyana	1980	1.41421356237
132.1697	137.24187237	4.150764	Guinea-Bissau	1980	1.41421356237
127.839	1679.02244094	4.686396	Guatemala	1980	1.41421356237
130.3305	2269.1082189	4.637951	Grenada	1980	1.41421356237
141.2646	16233.2908881	6.064195	Greenland	1980	1.41421356237
128.8615	1833.57710619	5.059958	Fiji	1980	1.41421356237
133.5645	9559.82486878	5.525091	Greece	1980	1.41421356237
130.4911	241.946239455	4.192763	Ghana	1980	1.41421356237
143.1237	15372.879686	6.143405	Finland	1980	1.41421356237
140.0198	15798.6953583	5.817773	Germany	1980	1.41421356237
130.692	475.267378627	4.540227	Zambia	1980	1.41421356237
138.7831	15641.971055	6.036262	France	1980	1.41421356237
138.4742	1896.7879005	5.226279	Georgia	1980	1.41421356237
134.2501	630.476666247	4.255198	Gambia	1980	1.41421356237
133.9388	10354.3507563	5.549522	French Polynesia	1980	1.41421356237
132.5967	12856.7178532	5.831725	Israel	1980	1.41421356237
